,cities,x,y
0,Adana,-65.0,-130.0
1,Adiyaman,125.0,-67.0
2,Afyonkarahisar,-200.0,-19.0
3,Agri,306.0,32.0
4,Aksaray,-59.0,-29.0
5,Amasya,6.0,86.0
6,Ankara,-117.0,48.0
7,Antalya,-187.0,-109.0
8,Ardahan,301.0,107.0
9,Artvin,255.0,215.0
10,Aydin,-303.0,-61.0
11,Balikesir,-290.0,40.0
12,Bartin,-122.0,132.0
13,Batman,240.0,-58.0
14,Bayburt,198.0,63.0
15,Bilecik,-215.0,61.0
16,Bingol,218.0,2.0
17,Bitlis,276.0,-32.0
18,Bolu,-160.0,81.0
19,Burdur,-219.0,-82.0
20,Bursa,-257.0,61.0
21,Canakkale,-345.0,57.0
22,Cankiri,-78.0,82.0
23,Corum,-36.0,76.0
24,Denizli,-253.0,-54.0
25,Diyarbakir,193.0,-50.0
26,Düzce,-168.0,101.0
27,Edirne,-349.0,122.0
28,Elazig,146.0,-23.0
29,Erzincan,147.0,34.0
30,Erzurum,235.0,52.0
31,Eskisehir,-177.0,32.0
32,Gaziantep,83.0,-105.0
33,Giresun,123.0,87.0
34,Gumushane,162.0,65.0
35,Hakkari,333.0,-77.0
36,Hatay,24.0,-147.0
37,Isparta,-179.0,-61.0
38,Istanbul,-262.0,114.0
39,Izmir,-327.0,-34.0
40,Izmit,-216.0,97.0
41,Iğdır,342.0,49.0
42,Kahramanmaraş,60.0,-70.0
43,Karabuk,-113.0,114.0
44,Karaman,-84.0,-96.0
45,Kars,303.0,72.0
46,Kastamonu,-79.0,136.0
47,Kayseri,16.0,-20.0
48,Kilis,73.0,-122.0
49,Kirikkale,-66.0,42.0
50,Kirklareli,-316.0,145.0
51,Kirsehir,-49.0,10.0
52,Konya,-124.0,-54.0
53,Kutahya,-230.0,18.0
54,Malatya,101.0,-27.0
55,Manisa,-294.0,-10.0
56,Mardin,221.0,-89.0
57,Mersin,-56.0,-126.0
58,Mus,252.0,-2.0
59,Muğla,-287.0,-98.0
60,Nevsehir,-30.0,-15.0
61,Niğde,-28.0,-58.0
62,Ordu,77.0,92.0
63,Osmaniye,28.0,-88.0
64,Rize,215.0,100.0
65,Sakarya,-197.0,87.0
66,Samsun,19.0,115.0
67,Sanliurfa,144.0,-105.0
68,Siirt,269.0,-53.0
69,Sinop,-23.0,139.0
70,Sirnak,281.0,-83.0
71,Sivas,93.0,40.0
72,Tekirdag,-323.0,113.0
73,Tokat,46.0,66.0
74,Trabzon,169.0,97.0
75,Tunceli,162.0,8.0
76,Usak,-243.0,-23.0
77,Van,338.0,-34.0
78,Yalova,-247.0,84.0
79,Yozgat,-5.0,31.0
80,Zonguldak,-146.0,115.0
